FolderName,CreationDate,FileCount,Time,Date,Day_of_Week
20200208,9/7/2020 21:17,4050,21:17,9/7/2020,Monday
20200309,9/7/2020 21:19,4050,21:19,9/7/2020,Monday
20200310,9/7/2020 21:23,4050,21:23,9/7/2020,Monday
20200311,9/7/2020 21:24,4050,21:24,9/7/2020,Monday
20200312,9/7/2020 21:25,4050,21:25,9/7/2020,Monday
20200313,9/7/2020 21:27,6073,21:27,9/7/2020,Monday
20200314,9/7/2020 21:29,4050,21:29,9/7/2020,Monday
20200315,9/7/2020 21:30,4050,21:30,9/7/2020,Monday
20200316,9/7/2020 21:31,4050,21:31,9/7/2020,Monday
20200317,9/7/2020 21:32,4050,21:32,9/7/2020,Monday
20200318,9/7/2020 21:33,4050,21:33,9/7/2020,Monday
20200319,9/7/2020 21:34,4052,21:34,9/7/2020,Monday
20200320,9/7/2020 21:35,6076,21:35,9/7/2020,Monday
20200321,9/7/2020 21:37,4052,21:37,9/7/2020,Monday
20200322,9/7/2020 21:38,4052,21:38,9/7/2020,Monday
20200323,9/7/2020 21:39,4056,21:39,9/7/2020,Monday
20200324,9/7/2020 21:41,4056,21:41,9/7/2020,Monday
20200325,9/7/2020 21:42,4056,21:42,9/7/2020,Monday
20200326,9/7/2020 21:43,4056,21:43,9/7/2020,Monday
20200327,9/7/2020 21:44,6082,21:44,9/7/2020,Monday
20200328,9/7/2020 21:45,4056,21:45,9/7/2020,Monday
20200329,9/7/2020 21:46,4056,21:46,9/7/2020,Monday
20200330,9/7/2020 21:47,4056,21:47,9/7/2020,Monday
20200331,9/7/2020 21:48,4017,21:48,9/7/2020,Monday
20200331,9/7/2020 21:49,8070,21:49,9/7/2020,Monday
20200401,9/7/2020 21:52,4056,21:52,9/7/2020,Monday
20200402,9/7/2020 21:53,4056,21:53,9/7/2020,Monday
20200403,9/7/2020 21:54,6082,21:54,9/7/2020,Monday
20200404,9/7/2020 21:55,4056,21:55,9/7/2020,Monday
20200405,9/7/2020 21:56,4056,21:56,9/7/2020,Monday
20200406,9/7/2020 21:58,4056,21:58,9/7/2020,Monday
20200407,9/7/2020 21:59,4056,21:59,9/7/2020,Monday
20200408,9/7/2020 22:00,4056,22:00,9/7/2020,Monday
