FolderName,CreationDate,FileCount
20200208,2020-09-07 21:17:17,4050
20200309,2020-09-07 21:19:18,4050
20200310,2020-09-07 21:23:19,4050
20200311,2020-09-07 21:24:32,4050
20200312,2020-09-07 21:25:46,4050
20200313,2020-09-07 21:27:11,6073
20200314,2020-09-07 21:29:05,4050
20200315,2020-09-07 21:30:11,4050
20200316,2020-09-07 21:31:17,4050
20200317,2020-09-07 21:32:23,4050
20200318,2020-09-07 21:33:32,4050
20200319,2020-09-07 21:34:41,4052
20200320,2020-09-07 21:35:48,6076
20200321,2020-09-07 21:37:30,4052
20200322,2020-09-07 21:38:33,4052
20200323,2020-09-07 21:39:37,4056
20200324,2020-09-07 21:41:02,4056
20200325,2020-09-07 21:42:06,4056
20200326,2020-09-07 21:43:10,4056
20200327,2020-09-07 21:44:14,6082
20200328,2020-09-07 21:45:49,4056
20200329,2020-09-07 21:46:51,4056
20200330,2020-09-07 21:47:53,4056
20200331POSTEOY,2020-09-07 21:48:56,4017
20200331PREEOY,2020-09-07 21:49:55,8070
20200401,2020-09-07 21:52:04,4056
20200402,2020-09-07 21:53:06,4056
20200403,2020-09-07 21:54:10,6082
20200404,2020-09-07 21:55:58,4056
20200405,2020-09-07 21:56:59,4056
20200406,2020-09-07 21:58:01,4056
20200407,2020-09-07 21:59:02,4056
20200408,2020-09-07 22:00:01,4056
20200409,2020-09-07 22:01:04,4056
20200410,2020-09-07 22:02:06,6082
20200411,2020-09-07 22:03:37,4056
20200412,2020-09-07 22:04:37,4056
20200413,2020-09-07 22:05:44,4056
20200414,2020-09-07 22:06:43,4056
20200415,2020-09-07 22:07:44,4056
20200416,2020-09-07 22:08:44,4056
20200417,2020-09-07 22:09:44,6082
20200418,2020-09-07 22:11:13,4056
20200419,2020-09-07 22:12:14,4056
20200420,2020-09-07 22:13:16,4056
20200421,2020-09-07 22:14:19,4056
20200422,2020-09-07 22:15:21,4055
20200423,2020-09-07 22:16:19,4056
20200424,2020-09-07 22:17:20,6082
20200425,2020-09-07 22:19:32,4056
20200426,2020-09-07 22:20:35,4056
20200427,2020-09-07 22:21:36,4056
20200428,2020-09-07 22:22:36,4056
20200429,2020-09-07 22:23:37,4056
20200430,2020-09-07 22:24:36,4057
20200501,2020-09-07 22:25:41,6082
20200502,2020-09-07 22:27:15,4056
20200503,2020-09-07 22:28:22,4056
20200504,2020-09-07 22:29:35,4056
20200505,2020-09-07 22:30:44,4056
20200506,2020-09-07 22:31:49,4056
20200507,2020-09-07 22:32:57,4056
20200508,2020-09-07 22:34:03,6082
20200509,2020-09-07 22:35:36,4056
20200510,2020-09-07 22:36:37,4056
20200511,2020-09-07 22:37:38,4056
20200512,2020-09-07 22:38:40,4056
20200513,2020-09-07 22:39:40,4056
20200514,2020-09-07 22:40:41,4056
20200515,2020-09-07 22:41:41,6082
20200516,2020-09-07 22:43:13,4056
20200517,2020-09-07 22:44:14,4056
20200518,2020-09-07 22:45:16,4056
20200519,2020-09-07 22:46:19,4056
20200520,2020-09-07 22:47:22,4056
20200521,2020-09-07 22:48:26,4056
20200920,2020-09-21 11:07:27,6123
20200921,2020-09-22 02:59:33,4104
20200922,2020-09-23 02:32:17,4104
20200923,2020-09-24 02:04:38,4104
20200924,2020-09-25 02:38:37,4104
20200925,2020-09-26 09:56:21,6157
20200926,2020-09-27 05:48:17,4106
20200927,2020-09-28 02:27:26,4106
20200928,2020-09-29 04:33:35,4108
20200929,2020-09-30 05:38:36,4108
20200930,2020-10-01 21:28:53,8177
20201001,2020-10-02 03:15:45,4114
20201002,2020-10-03 03:17:19,6166
20201003,2020-10-04 05:39:25,4112
20201003_BomAdjusted,2020-10-31 07:11:21,2056
20201004,2020-10-05 03:32:05,4112
20201005,2020-10-06 05:14:20,4112
20201006,2020-10-07 03:31:31,4112
20201007,2020-10-08 03:03:22,4112
20201008,2020-10-09 03:19:48,4112
20201009,2020-10-10 05:23:07,4111
20201010,2020-10-11 03:39:02,4112
20201011,2020-10-12 02:49:43,4112
20201012,2020-10-13 05:49:29,4112
20201013,2020-10-14 04:24:57,4112
20201014,2020-10-15 08:46:03,4112
20201015,2020-10-16 02:54:11,4112
20201016,2020-10-17 08:29:23,4111
20201017,2020-10-18 03:19:14,4112
20201018,2020-10-19 02:03:40,4112
20201019,2020-10-20 02:50:13,4112
20201020,2020-10-21 03:58:14,4112
20201021,2020-10-22 01:38:04,4114
20201022,2020-10-23 02:34:51,4114
20201023,2020-10-24 04:04:17,6169
20201024,2020-10-25 02:42:20,4114
20201025,2020-10-26 01:51:35,4114
